Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);Rad. Global (MJ/ma^2);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));;VENTO, VELOCIDADE HORARIA(m/s);Unnamed: 22
01/01/2024;1150;0;1004,56875;1011,73125;1004,927083;1004,285417;510,0833333;0,510083333;29,47916667;27,93333333;23,87291667;28,39791667;27,40625;24,34375;23,36041667;13,0375;82,39583333;76,60416667;79,27083333;128,8125;;1,09375;
02/01/2024;1150;0;1004,004167;1011,1625;1004,333333;1003,683333;597,3916667;0,597391667;30,66666667;28,78333333;24,85416667;29,20833333;28,44166667;25,3375;24,45;13,0625;82,04166667;77,375;79,66666667;112,5416667;;1,475;
03/01/2024;1150;0;1003,76875;1010,93125;1004,05625;1003,460417;615,3354167;0,615335417;30,52083333;28,94375;24,17708333;29,41875;28,52708333;24,76458333;23,825;13,04791667;79,39583333;74,35416667;76,5625;65;;1,78125;
04/01/2024;1150;0,158333333;1003,695833;1010,84375;1003,970833;1003,35;693,6708333;0,693670833;31,47916667;29,50416667;23,54375;30,24583333;29,01666667;24,15833333;23,11458333;13,04791667;74,1875;67,9375;71,5625;66,5;;1,683333333;
05/01/2024;1150;0;1005,445833;1012,679167;1005,7125;1005,145833;320,2375;0,3202375;28,125;26,1875;23,25416667;26,60416667;25,90833333;23,64583333;22,925;13,06666667;86,04166667;81,58333333;84,08333333;152,375;;1,55;
06/01/2024;1150;0,008333333;1005,164583;1012,366667;1005,510417;1004,83125;561,2416667;0,561241667;28,5625;26,92916667;23,16041667;27,22083333;26,60416667;23,42291667;22,83958333;13,06458333;82,25;78,75;80,39583333;54,02083333;;2,227083333;
07/01/2024;1150;0;1004,810417;1011,98125;1005,1375;1004,541667;744,0791667;0,744079167;29,9375;28,3375;23,40416667;28,89166667;27,71875;23,94791667;23,02083333;13,03541667;78,9375;73,70833333;76,10416667;89,20833333;;1,685416667;
08/01/2024;1150;0,108333333;1003,35;1010,491667;1003,654167;1003,054167;741,0416667;0,741041667;31,20833333;29,325;23,075;30,13333333;28,675;23,65833333;22,57916667;13,025;73,625;66,04166667;70;51,70833333;;1,795833333;
09/01/2024;1150;0,383333333;1004,054167;1011,229167;1004,3875;1003,704167;386,5583333;0,386558333;29,16666667;27,77916667;23,57083333;28,15416667;27,10416667;23,9625;23,12083333;13,0375;81,875;75,29166667;78,125;49,41666667;;1,504166667;
10/01/2024;1150;0,041666667;1004,6375;1011,822917;1004,9875;1004,3125;570,55625;0,57055625;29,5;27,58333333;23,725;28,28125;27,06666667;24,20833333;23,2125;13,04583333;83,16666667;76,64583333;80,25;197,875;;1,008333333;
11/01/2024;1150;0,025;1005,029167;1012,241667;1005,3625;1004,641667;470,7125;0,4707125;29,04166667;26,9125;23,9625;27,675;26,38333333;24,50833333;23,60833333;13,05833333;87,29166667;81,375;84,33333333;152,625;;1,379166667;
12/01/2024;1150;0,175;1004,55;1011,729167;1004,85;1004,235417;441,975;0,441975;28,8125;26,99791667;23,32916667;27,66875;26,53125;23,77916667;22,92916667;12,98541667;83,5;77,47916667;80,95833333;107,75;;0,997916667;
13/01/2024;1150;0,3875;1004,679167;1011,88125;1005,002083;1004,385417;484,4625;0,4844625;28,41666667;26,94375;24,4;27,43541667;26,29583333;24,93958333;23,775;13,04375;89,70833333;83,1875;86,29166667;110,3333333;;1,110416667;
14/01/2024;1150;2,866666667;1006,766667;1014,022917;1007,075;1006,460417;289,4458333;0,289445833;26,9375;25,36041667;23,36458333;25,72291667;25,02083333;23,74791667;23,08958333;13,03125;91,5625;87,04166667;89,04166667;106,6041667;;1,2625;
15/01/2024;1150;0,016666667;1006,075;1013,3125;1006,4125;1005,766667;735,3583333;0,735358333;28,04166667;26,20416667;22,85416667;26,74166667;25,65833333;23,45;22,52083333;13,06666667;85,66666667;80,125;82,70833333;78;;1,504166667;
16/01/2024;1150;0,025;1004,725;1011,914583;1005,089583;1004,433333;812,8625;0,8128625;29,22916667;27,91041667;23,32708333;28,26041667;27,28541667;23,70208333;22,87291667;13,04583333;80,5;75,0625;77,20833333;69,22916667;;1,991666667;
17/01/2024;1150;0,033333333;1004,425;1011,579167;1004,729167;1004,141667;796,8166667;0,796816667;31,20833333;29,52916667;23,39166667;30,07083333;28,8125;23,86666667;22,89166667;13,04166667;73,58333333;67;70,16666667;70,95833333;;1,804166667;
18/01/2024;1150;0,391666667;1004,5375;1011,683333;1004,85;1004,208333;819,0208333;0,819020833;31,41666667;29,3125;24,31666667;30,04166667;28,775;24,8;23,75;13,025;78,16666667;71,75;75,58333333;104,625;;1,570833333;
19/01/2024;1150;0;1004,695833;1011,854167;1005,0375;1004,383333;720,75;0,72075;30,375;28,97083333;23,54583333;29,425;28,44166667;24,13333333;23,19583333;13,03333333;76,95833333;71,66666667;73,75;62,70833333;;1,604166667;
20/01/2024;1150;0,016666667;1004,525;1011,6875;1004,85;1004,170833;677,2;0,6772;31,08333333;29,0375;23,45;29,73333333;28,575;23,92083333;22,9625;13,05833333;75,16666667;69,04166667;72,66666667;49,33333333;;2,025;
21/01/2024;1150;0,333333333;1004,8125;1011,9625;1005,158333;1004,4625;737,625;0,737625;30,91666667;29,00416667;23,8375;29,94583333;28,19583333;24,3875;23,24583333;13,025;78,91666667;70,66666667;75;122,875;;1,091666667;
22/01/2024;1150;0;1005,633333;1012,7875;1005,970833;1005,325;636,775;0,636775;30,33333333;28,58333333;24,275;29,26666667;27,94583333;24,94583333;23,67083333;13,02083333;82,25;75,08333333;78,625;141,3333333;;1,195833333;
23/01/2024;1150;0;1005,920833;1013,108333;1006,229167;1005,6125;576;0,576;30,625;28,31666667;23,68333333;28,9875;27,86666667;24,225;23,27083333;13,0625;78,91666667;73,625;76;106,8333333;;1,470833333;
24/01/2024;1150;0,008333333;1004,979167;1012,1375;1005,3;1004,695833;689,3875;0,6893875;30,375;28,525;23,16666667;29,2;27,9375;23,6875;22,61666667;13,03333333;77;70,5;73,91666667;101,0416667;;1,1125;
25/01/2024;1150;0,35;1004,229167;1011,391667;1004,55;1003,895833;706,775;0,706775;30,95833333;28,66666667;23,94166667;29,60416667;28,16666667;24,55833333;23,50833333;13,03333333;79,375;72,66666667;76,58333333;109,3333333;;1,383333333;
26/01/2024;1150;0,3;1005,558333;1012,75;1005,9;1005,229167;330,0416667;0,330041667;28,25;26,55416667;23,82083333;26,99583333;26,14166667;24,25833333;23,48333333;13,00416667;88,08333333;82,5;85,16666667;103,875;;1,366666667;
27/01/2024;1150;0,05;1005,866667;1013,066667;1006,195833;1005,533333;378,1083333;0,378108333;28,41666667;26,8375;23,76666667;27,1375;26,49166667;24,14583333;23,44166667;13,0375;86,16666667;81,79166667;83,75;128,2916667;;1,666666667;
28/01/2024;1150;0,041666667;1005,629167;1012,791667;1005,933333;1005,283333;782,3916667;0,782391667;30,29166667;28,60833333;23,675;29,1375;28,01666667;24,17083333;23,1625;13,03333333;79,25;73,25;76;61,04166667;;1,954166667;
29/01/2024;1150;0,016666667;1006;1013,191667;1006,3875;1005,70625;526,325;0,526325;30,29166667;28,57708333;24,15416667;28,96458333;27,95833333;24,63333333;23,74583333;13,01458333;81,45833333;76,04166667;78,20833333;108,7291667;;1,629166667;
30/01/2024;1150;0;1004,725;1011,85;1005,058333;1004,404167;979,9833333;0,979983333;32;30,11666667;24,375;30,71666667;29,575;24,83333333;23,9375;13,04583333;74,91666667;69,54166667;72,29166667;79,04166667;;2,041666667;
31/01/2024;1150;0;1004,266667;1011,408333;1004,629167;1003,916667;819,3583333;0,819358333;31,29166667;29,5125;23,9125;29,92083333;28,90833333;24,35;23,5;13,04583333;75,33333333;70,91666667;72,75;68,375;;2,204166667;
01/02/2024;1150;1,925;1005,341667;1012,560417;1005,629167;1004,966667;73,84583333;0,073845833;28,3125;26,79583333;24,43541667;27,29583333;26,58333333;24,75416667;24,11666667;12,83958333;88,89583333;84,39583333;87,1875;160,2916667;;1,108333333;
