Nome: PETROLINA;;;;;;;;;;;;;;;;;;;;;
Codigo Estacao: A307;;;;;;;;;;;;;;;;;;;;;
Latitude: -9.38833333;;;;;;;;;;;;;;;;;;;;;
Longitude: -40.52333332;;;;;;;;;;;;;;;;;;;;;
Altitude: 372.72;;;;;;;;;;;;;;;;;;;;;
Situacao: Pane;;;;;;;;;;;;;;;;;;;;;
Data Inicial: 2024-01-01;;;;;;;;;;;;;;;;;;;;;
Data Final: 2024-12-31;;;;;;;;;;;;;;;;;;;;;
Periodicidade da Medicao: Horaria;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2024;0;0;970,5;1012,8;970,5;969,8;null;29;26,8;20,1;26,8;26,6;20,7;20;12,5;70;67;67;294;5;2,2
01/01/2024;100;0;970,4;1012,7;970,5;970,3;null;28;26,4;20,7;26,8;26,3;20,7;20;12,4;71;66;71;256;4,5;1,5
01/01/2024;200;0;970,8;1013,1;970,8;970,3;null;28;26,7;20,7;26,7;26,4;20,8;20,7;12,4;71;70;70;222;3,4;1,4
01/01/2024;300;8,8;970,8;1013,6;971,1;970,8;null;28;23,2;21,1;26,8;23,2;21,6;20,4;12,4;89;69;88;335;2,9;0,9
01/01/2024;400;2,6;970,2;1012,8;970,8;970,2;null;26;24,3;22,1;24,7;23;22,6;21,1;12,4;92;83;87;314;5;2,1
01/01/2024;500;0;969,7;1012,3;970,2;969,6;null;26;24,6;22,2;24,7;24,3;22,3;21,8;12,4;88;85;87;284;5,1;2,2
01/01/2024;600;0;969,3;1011,9;969,7;969,3;null;26;24,2;22;24,6;24,2;22,3;21,9;12,4;89;86;88;233;4,8;1,5
01/01/2024;700;0;969,6;1012,2;969,6;969,2;null;26;24,4;22,1;24,5;24,1;22,3;21,9;12,4;88;87;87;294;2,8;1
01/01/2024;800;0;969,5;1012;969,6;969,3;null;26;24,9;21,8;24,9;24,4;22,5;21,8;12,3;88;83;83;136;2,5;1,2
01/01/2024;900;0;970,1;1012,7;970,1;969,5;null;26;24,2;22,7;25,1;24,2;22,8;21,7;12,3;91;82;91;31;3,5;2,3
01/01/2024;1000;0;970,6;1013,2;970,6;970,1;null;26;24,9;22,7;24,9;24,1;22,8;22,5;12,5;92;87;87;23;3,6;2,2
01/01/2024;1100;0;971;1013,3;971;970,5;null;28;26,7;21,8;27,6;24,9;23,3;21,8;12,8;88;73;74;95;3,6;1,4
