month,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez
2024-01-01,124.88706145376351,0,129.16448000000003,179.7548294512754,187.49508804249157,250.6121564348571,172.38050160310667,786.060969978058
2024-02-01,119.14156829080466,0,116.8048,154.66991738931537,161.33001748526218,215.17317026742853,144.19597340216262,748.262733568823
2024-03-01,123.61609467526884,0,111.63839999999999,143.70339149527018,149.89127203235284,208.85581373914283,143.29438158558557,774.0874090041759
2024-04-01,116.90952610222229,0,91.46984000000002,128.44549177856,133.97636582671166,181.0541953928571,134.78024043109994,736.1532608444845
2024-05-01,90.34013755376353,0,72.8167,114.09996071531586,119.01311494811239,154.83801991371428,135.78300366423343,578.9947424415359
2024-06-01,59.116787435555636,0,58.01664,102.73788770491389,107.16179008561134,138.58750697142855,129.5013921491809,416.74942165306703
2024-07-01,36.89028106666657,0,57.78399999999998,99.76100756237594,104.05672522520717,129.65522381742855,115.12506957912613,353.13368976599503
2024-08-01,57.68778610430102,0,71.03434999999999,131.42229845896696,137.08135406169907,174.16863254057142,154.6636206612816,450.65195061263717
2024-09-01,119.3729496755555,0,100.49129999999998,167.09422289609384,174.28931466782652,202.61479063371428,189.9392069163458,756.3483449003926
2024-10-01,114.18635360537638,0,113.94368999999999,170.0836084437018,177.4074234171307,212.573832588,171.6334356910854,705.6812109547727
2024-11-01,105.54906699222215,0,114.70733999999997,156.05625777702429,162.7760538106495,218.89941040542854,145.88343481520067,646.3591132343346
2024-12-01,118.02263616881729,0,126.80472000000002,168.96101705086176,176.23649314127215,229.73771540314283,153.53475224592034,723.2132051986143
